255-255-255,ffffff,S01
239-239-239,efefef,S77
218-182-152,dab698,S93
249-200-152,f9c898,S154
209-209-209,d1d1d1,S78
187-188-188,bbbcbc,S79
155-155-155,9b9b9b,S07
243-207-179,f3cfb3,S67
204-153-102,cc9966,S18
195-144-105,c39069,S155
136-139-141,888b8d,S159
118-119-119,767777,S43
68-80-91,44505b,S156
72-73-85,484955,S89
184-97-37,b86125,S83
164-73-61,a4493d,S57
122-62-44,7a3e2c,S15
62-73-85,3e4955,S157
35-40-43,23282b,S69
32-40-48,202830,S158
0-0-0,000000,S13
92-19-27,5c131b,S85
154-85-22,9a5516,S41
252-251-205,fcfbcd,S51
237-211-158,edd39e,S149
255-231-128,ffe780,S32
222-185-71,deb947,S92
225-192-120,e1c078,S68
205-178-119,cdb277,S81
181-129-80,b58150,S82
180-126-0,b47e00,S47
123-77-53,7b4d35,S17
99-67-56,634338,S148
92-71-56,5c4738,S16
160-159-157,a09f9d,S42
88-87-53,585735,S63
242-240-161,f2f0a1,S52
246-235-97,f6eb61,S29
250-224-83,fae053,S14
255-209-0,ffd100,S27
255-199-44,ffc72c,S48
234-170-0,eaaa00,S86
255-197-110,ffc56e,S90
246-176-76,f6b04c,S03
237-139-0,ed8b00,S39
212-114-42,d4722a,S97
244-99-58,f4633a,S66
255-103-31,ff671f,S04
255-106-19,ff6a13,S56
250-170-114,faaa72,S50
255-163-139,ffa38b,S02
247-206-215,f7ced7,S35
230-140-163,e68ca3,S129
244-169-153,f4a999,S94
238-125-103,ee7d67,S95
240-134-97,f08661,S96
255-109-106,ff6d6a,S87
170-87-97,aa5761,S84
222-84-121,de5479,S130
201-128-158,c9809e,S36
252-191-169,fcbfa9,S19
217-182-214,d9b6d6,S127
234-184-228,eab8e4,S28
241-167-220,f1a7dc,S40
236-134-208,ec86d0,S06
255-52-179,ff34b3,S25
219-33-82,db2152,S26
232-65-107,e8416b,S132
218-24-132,da1884,S88
173-98-164,ad62a4,S128
183-56-143,b7388f,S133
88-31-126,581f7e,S134
225-6-0,e10600,S05
186-12-47,ba0c2f,S34
165-0-52,a50034,S58
81-9-24,510918,S146
171-37-86,ab2556,S38
114-25-95,72195f,S49
197-180-227,c5b4e3,S33
154-154-204,9a9acc,S136
170-220-235,aadceb,S44
100-194-220,64c2dc,S99
153-214-234,99d6ea,S30
173-220-145,addc91,S55
184-189-224,b8bde0,S153
151-145-197,9791c5,S152
105-99-171,6963ab,S150
158-130-186,9e82ba,S131
167-123-202,a77bca,S60
160-94-181,a05eb5,S12
100-53-155,64359b,S23
74-31-135,4a1f87,S59
51-0-114,330072,S22
140-163-212,8ca3d4,S135
89-129-193,5981c1,S137
65-102-176,4166b0,S138
71-95-171,475fab,S139
61-86-165,3d56a5,S141
55-69-147,374593,S140
41-66-135,294287,S142
37-38-138,25268a,S143
65-182-230,41b6e6,S10
49-150-221,3196dd,S101
20-123-209,147bd1,S24
27-108-182,1b6cb6,S102
8-57-128,083980,S103
0-51-153,003399,S11
26-47-111,1a2f6f,S144
0-144-218,0090da,S54
105-179-231,69b3e7,S53
79-159-179,4f9fb3,S100
72-169-197,48a9c5,S73
0-174-214,00aed6,S74
0-133-173,0085ad,S75
0-85-116,005574,S107
0-78-120,004e78,S106
113-216-191,71d8bf,S37
89-213-216,59d5d8,S72
0-178-169,00b2a9,S45
0-174-199,00aec7,S76
10-102-139,0a668b,S104
8-91-110,085b6e,S105
158-229-176,9ee5b0,S31
113-196-82,71c452,S119
135-216-57,87d839,S21
24-168-24,18a818,S123
211-201-93,d3c95d,S145
206-220-0,cedc00,S61
186-184-162,bab8a2,S113
114-140-84,728c54,S114
20-194-91,14c25b,S122
36-158-107,249e6b,S20
0-133-43,00852b,S71
4-85-46,04552e,S124
19-107-90,136b5a,S125
0-124-88,007c58,S62
155-188-17,9bbc11,S70
153-155-48,999b30,S80
204-190-128,ccbe80,S108
164-147-80,a49350,S109
158-136-60,9e883c,S110
118-108-43,766c2b,S111
126-124-68,7e7c44,S115
100-105-46,64692e,S116
78-88-44,4e582c,S117
74-94-45,4a5e2d,S118
43-63-31,2b3f1f,S151
24-48-40,183028,S91
100-172-223,64acdf,S98
5-8-73,050849,S64
102-204-153,66cc99,S120
5-70-65,054641,S126
0-104-94,00685e,S09
121-95-38,795f26,S112
243-234-93,f3ea5d,S65
100-179-158,64b39e,S147
86-154-131,569a83,S121
115-211-60,73d33c,S46
36-222-91,24de5b,S08
