153-214-234,99d6ea,C39
89-213-216,59d5d8,C79
158-229-176,9ee5b0,C60
100-179-158,64b39e,C146
79-159-179,4f9fb3,C99
0-174-214,00aed6,C82
10-102-139,0a668b,C103
8-91-110,085b6e,C104
0-85-116,005574,C106
0-78-120,004e78,C105
0-133-173,0085ad,C83
72-169-197,48a9c5,C81
100-194-220,64c2dc,C98
113-196-82,71c452,C118
86-154-131,569a83,C120
0-178-169,00b2a9,C54
0-174-199,00aec7,C80
5-70-65,054641,C125
19-107-90,136b5a,C124
0-124-88,007c58,C15
4-85-46,04552e,C123
0-133-34,008522,C86
36-158-107,249e6b,C14
173-220-145,addc91,C12
102-204-153,66cc99,C119
93-219-93,5ddb5d,C45
20-194-91,14c25b,C121
24-168-24,18a818,C122
108-194-74,6cc24a,C55
135-216-57,87d839,C13
115-211-60,73d33c,C53
243-234-93,f3ea5d,C46
204-190-128,ccbe80,C107
164-147-80,a49350,C108
158-136-60,9e883c,C109
118-108-43,766c2b,C110
121-95-38,795f26,C111
78-88-44,4e582c,C116
100-105-46,64692e,C115
126-124-68,7e7c44,C114
211-201-93,d3c95d,C144
206-220-0,cedc00,C40
155-188-17,9bbc11,C84
153-155-48,999b30,C85
74-94-45,4a5e2d,C117
43-63-31,2b3f1f,C150
24-48-40,183028,C70
114-140-84,728c54,C113
186-184-162,bab8a2,C112
